continent,common_name,species_name
North America,Silver Pheasant,Lophura nycthemera
North America,Indian Peafowl,Pavo cristatus
North America,Chinese Bamboo-Partridge,Bambusicola thoracicus
North America,Red Junglefowl,Gallus gallus
North America,Gray Francolin,Ortygornis pondicerianus
North America,Black Francolin,Francolinus francolinus
North America,Himalayan Snowcock,Tetraogallus himalayensis
North America,Common Quail,Coturnix coturnix
North America,Japanese Quail,Coturnix japonica
North America,Red-legged Partridge,Alectoris rufa
North America,Chukar,Alectoris chukar
North America,Erckel's Francolin,Pternistis erckelii
North America,Chilean Flamingo,Phoenicopterus chilensis
North America,American Flamingo,Phoenicopterus ruber
North America,Least Grebe,Tachybaptus dominicus
North America,Pied-billed Grebe,Podilymbus podiceps
North America,Atitlan Grebe,Podilymbus gigas
North America,Horned Grebe,Podiceps auritus
North America,Red-necked Grebe,Podiceps grisegena
North America,Eared Grebe,Podiceps nigricollis
North America,Western Grebe,Aechmophorus occidentalis
North America,Clark's Grebe,Aechmophorus clarkii
North America,Rock Pigeon,Columba livia
North America,Common Wood-Pigeon,Columba palumbus
North America,Pale-vented Pigeon,Patagioenas cayennensis
North America,Scaled Pigeon,Patagioenas speciosa
North America,Scaly-naped Pigeon,Patagioenas squamosa
North America,White-crowned Pigeon,Patagioenas leucocephala
North America,Red-billed Pigeon,Patagioenas flavirostris
North America,Plain Pigeon,Patagioenas inornata
North America,Band-tailed Pigeon,Patagioenas fasciata
North America,Ring-tailed Pigeon,Patagioenas caribaea
North America,Plumbeous Pigeon,Patagioenas plumbea
North America,Ruddy Pigeon,Patagioenas subvinacea
North America,Short-billed Pigeon,Patagioenas nigrirostris
North America,Dusky Pigeon,Patagioenas goodsoni
North America,Passenger Pigeon,Ectopistes migratorius
North America,European Turtle-Dove,Streptopelia turtur
North America,Oriental Turtle-Dove,Streptopelia orientalis
North America,Eurasian Collared-Dove,Streptopelia decaocto
North America,African Collared-Dove,Streptopelia roseogrisea
North America,Spotted Dove,Streptopelia chinensis
North America,Zebra Dove,Geopelia striata
North America,Inca Dove,Columbina inca
North America,Common Ground Dove,Columbina passerina
North America,Plain-breasted Ground Dove,Columbina minuta
North America,Ruddy Ground Dove,Columbina talpacoti
North America,Blue Ground Dove,Claravis pretiosa
North America,Maroon-chested Ground Dove,Paraclaravis mondetoura
North America,Blue-headed Quail-Dove,Starnoenas cyanocephala
North America,Crested Quail-Dove,Geotrygon versicolor
North America,Ruddy Quail-Dove,Geotrygon montana
North America,Violaceous Quail-Dove,Geotrygon violacea
North America,Gray-fronted Quail-Dove,Geotrygon caniceps
North America,White-fronted Quail-Dove,Geotrygon leucometopia
North America,Key West Quail-Dove,Geotrygon chrysia
North America,Bridled Quail-Dove,Geotrygon mystacea
North America,Olive-backed Quail-Dove,Leptotrygon veraguensis
North America,White-tipped Dove,Leptotila verreauxi
North America,Caribbean Dove,Leptotila jamaicensis
North America,Gray-chested Dove,Leptotila cassinii
North America,Gray-headed Dove,Leptotila plumbeiceps
North America,Grenada Dove,Leptotila wellsi
North America,Tuxtla Quail-Dove,Zentrygon carrikeri
North America,Buff-fronted Quail-Dove,Zentrygon costaricensis
North America,Purplish-backed Quail-Dove,Zentrygon lawrencii
North America,White-faced Quail-Dove,Zentrygon albifacies
North America,Chiriqui Quail-Dove,Zentrygon chiriquensis
North America,Russet-crowned Quail-Dove,Zentrygon goldmani
North America,White-winged Dove,Zenaida asiatica
North America,Zenaida Dove,Zenaida aurita
North America,Eared Dove,Zenaida auriculata
North America,Mourning Dove,Zenaida macroura
North America,Socorro Dove,Zenaida graysoni
North America,Pied Imperial-Pigeon,Ducula bicolor
North America,Chestnut-bellied Sandgrouse,Pterocles exustus
North America,Greater Ani,Crotophaga major
North America,Smooth-billed Ani,Crotophaga ani
North America,Groove-billed Ani,Crotophaga sulcirostris
North America,Striped Cuckoo,Tapera naevia
North America,Pheasant Cuckoo,Dromococcyx phasianellus
North America,Lesser Ground-Cuckoo,Morococcyx erythropygus
North America,Lesser Roadrunner,Geococcyx velox
North America,Greater Roadrunner,Geococcyx californianus
North America,Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi
North America,Little Cuckoo,Coccycua minuta
North America,Dwarf Cuckoo,Coccycua pumila
North America,Squirrel Cuckoo,Piaya cayana
North America,Dark-billed Cuckoo,Coccyzus melacoryphus
North America,Yellow-billed Cuckoo,Coccyzus americanus
North America,Pearly-breasted Cuckoo,Coccyzus euleri
North America,Mangrove Cuckoo,Coccyzus minor
North America,Cocos Cuckoo,Coccyzus ferrugineus
North America,Black-billed Cuckoo,Coccyzus erythropthalmus
North America,Gray-capped Cuckoo,Coccyzus lansbergi
North America,Chestnut-bellied Cuckoo,Coccyzus pluvialis
North America,Bay-breasted Cuckoo,Coccyzus rufigularis
North America,Jamaican Lizard-Cuckoo,Coccyzus vetula
North America,Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti
North America,Great Lizard-Cuckoo,Coccyzus merlini
North America,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris
North America,Common Cuckoo,Cuculus canorus
North America,Oriental Cuckoo,Cuculus optatus
North America,Lesser Nighthawk,Chordeiles acutipennis
North America,Common Nighthawk,Chordeiles minor
North America,Antillean Nighthawk,Chordeiles gundlachii
North America,Short-tailed Nighthawk,Lurocalis semitorquatus
North America,Common Pauraque,Nyctidromus albicollis
North America,White-tailed Nightjar,Hydropsalis cayennensis
North America,Spot-tailed Nightjar,Hydropsalis maculicaudus
North America,Jamaican Pauraque,Siphonorhis americana
North America,Least Pauraque,Siphonorhis brewsteri
North America,Eared Poorwill,Nyctiphrynus mcleodii
North America,Yucatan Poorwill,Nyctiphrynus yucatanicus
North America,Ocellated Poorwill,Nyctiphrynus ocellatus
North America,Common Poorwill,Phalaenoptilus nuttallii
North America,Chuck-will's-widow,Antrostomus carolinensis
North America,Rufous Nightjar,Antrostomus rufus
North America,Greater Antillean Nightjar,Antrostomus cubanensis
North America,Tawny-collared Nightjar,Antrostomus salvini
North America,Yucatan Nightjar,Antrostomus badius
North America,Buff-collared Nightjar,Antrostomus ridgwayi
North America,Eastern Whip-poor-will,Antrostomus vociferus
North America,Dusky Nightjar,Antrostomus saturatus
North America,Mexican Whip-poor-will,Antrostomus arizonae
North America,Puerto Rican Nightjar,Antrostomus noctitherus
North America,Gray Nightjar,Caprimulgus jotaka
North America,Great Potoo,Nyctibius grandis
North America,Common Potoo,Nyctibius griseus
North America,Northern Potoo,Nyctibius jamaicensis
North America,Oilbird,Steatornis caripensis
North America,Black Swift,Cypseloides niger
North America,White-fronted Swift,Cypseloides storeri
North America,White-chinned Swift,Cypseloides cryptus
North America,Spot-fronted Swift,Cypseloides cherriei
North America,Chestnut-collared Swift,Streptoprocne rutila
North America,White-collared Swift,Streptoprocne zonaris
North America,White-naped Swift,Streptoprocne semicollaris
North America,Chimney Swift,Chaetura pelagica
North America,Vaux's Swift,Chaetura vauxi
North America,Chapman's Swift,Chaetura chapmani
North America,Ashy-tailed Swift,Chaetura andrei
North America,Sick's Swift,Chaetura meridionalis
North America,Short-tailed Swift,Chaetura brachyura
North America,Gray-rumped Swift,Chaetura cinereiventris
North America,Band-rumped Swift,Chaetura spinicaudus
North America,Costa Rican Swift,Chaetura fumosa
North America,Lesser Antillean Swift,Chaetura martinica
North America,White-throated Needletail,Hirundapus caudacutus
North America,Mariana Swiftlet,Aerodramus bartschi
North America,Alpine Swift,Apus melba
North America,Common Swift,Apus apus
North America,Pacific Swift,Apus pacificus
North America,White-throated Swift,Aeronautes saxatalis
North America,Lesser Swallow-tailed Swift,Panyptila cayennensis
North America,Great Swallow-tailed Swift,Panyptila sanctihieronymi
North America,Antillean Palm-Swift,Tachornis phoenicobia
North America,White-necked Jacobin,Florisuga mellivora
North America,White-tipped Sicklebill,Eutoxeres aquila
North America,Bronzy Hermit,Glaucis aeneus
North America,Rufous-breasted Hermit,Glaucis hirsutus
North America,Band-tailed Barbthroat,Threnetes ruckeri
North America,White-whiskered Hermit,Phaethornis yaruqui
North America,Green Hermit,Phaethornis guy
North America,Long-billed Hermit,Phaethornis longirostris
North America,Mexican Hermit,Phaethornis mexicanus
North America,Pale-bellied Hermit,Phaethornis anthophilus
North America,Stripe-throated Hermit,Phaethornis striigularis
North America,Green-fronted Lancebill,Doryfera ludovicae
North America,Brown Violetear,Colibri delphinae
North America,Mexican Violetear,Colibri thalassinus
North America,Lesser Violetear,Colibri cyanotus
North America,Tooth-billed Hummingbird,Androdon aequatorialis
North America,Purple-crowned Fairy,Heliothryx barroti
North America,Ruby-topaz Hummingbird,Chrysolampis mosquitus
North America,Jamaican Mango,Anthracothorax mango
North America,Black-throated Mango,Anthracothorax nigricollis
North America,Green-breasted Mango,Anthracothorax prevostii
North America,Veraguan Mango,Anthracothorax veraguensis
North America,Antillean Mango,Anthracothorax dominicus
North America,Green Mango,Anthracothorax viridis
North America,Purple-throated Carib,Eulampis jugularis
North America,Green-throated Carib,Eulampis holosericeus
North America,Green Thorntail,Discosura conversii
North America,Short-crested Coquette,Lophornis brachylophus
North America,Rufous-crested Coquette,Lophornis delattrei
North America,Black-crested Coquette,Lophornis helenae
