continent,common_name,species_name
South America,Buff-thighed Puffleg,Haplophaedia assimilis
South America,Hoary Puffleg,Haplophaedia lugens
South America,Black-breasted Puffleg,Eriocnemis nigrivestis
South America,Gorgeted Puffleg,Eriocnemis isabellae
South America,Glowing Puffleg,Eriocnemis vestita
South America,Black-thighed Puffleg,Eriocnemis derbyi
South America,Turquoise-throated Puffleg,Eriocnemis godini
South America,Coppery-bellied Puffleg,Eriocnemis cupreoventris
South America,Sapphire-vented Puffleg,Eriocnemis luciani
South America,Golden-breasted Puffleg,Eriocnemis mosquera
South America,Blue-capped Puffleg,Eriocnemis glaucopoides
South America,Colorful Puffleg,Eriocnemis mirabilis
South America,Emerald-bellied Puffleg,Eriocnemis aline
South America,Marvelous Spatuletail,Loddigesia mirabilis
South America,Shining Sunbeam,Aglaeactis cupripennis
South America,White-tufted Sunbeam,Aglaeactis castelnaudii
South America,Purple-backed Sunbeam,Aglaeactis aliciae
South America,Black-hooded Sunbeam,Aglaeactis pamela
South America,Bronzy Inca,Coeligena coeligena
South America,Brown Inca,Coeligena wilsoni
South America,Black Inca,Coeligena prunellei
South America,Collared Inca,Coeligena torquata
South America,Violet-throated Starfrontlet,Coeligena violifer
South America,Rainbow Starfrontlet,Coeligena iris
South America,White-tailed Starfrontlet,Coeligena phalerata
South America,Dusky Starfrontlet,Coeligena orina
South America,Buff-winged Starfrontlet,Coeligena lutetiae
South America,Golden-bellied Starfrontlet,Coeligena bonapartei
South America,Blue-throated Starfrontlet,Coeligena helianthea
South America,Mountain Velvetbreast,Lafresnaya lafresnayi
South America,Sword-billed Hummingbird,Ensifera ensifera
South America,Great Sapphirewing,Pterophanes cyanopterus
South America,Buff-tailed Coronet,Boissonneaua flavescens
South America,Chestnut-breasted Coronet,Boissonneaua matthewsii
South America,Velvet-purple Coronet,Boissonneaua jardini
South America,Booted Racket-tail,Ocreatus underwoodii
South America,Rufous-gaped Hillstar,Urochroa bougueri
South America,Green-backed Hillstar,Urochroa leucura
South America,Purple-bibbed Whitetip,Urosticte benjamini
South America,Rufous-vented Whitetip,Urosticte ruficrissa
South America,Velvet-browed Brilliant,Heliodoxa xanthogonys
South America,Pink-throated Brilliant,Heliodoxa gularis
South America,Rufous-webbed Brilliant,Heliodoxa branickii
South America,Black-throated Brilliant,Heliodoxa schreibersii
South America,Gould's Jewelfront,Heliodoxa aurescens
South America,Fawn-breasted Brilliant,Heliodoxa rubinoides
South America,Green-crowned Brilliant,Heliodoxa jacula
South America,Empress Brilliant,Heliodoxa imperatrix
South America,Violet-fronted Brilliant,Heliodoxa leadbeateri
South America,Brazilian Ruby,Clytolaema rubricauda
South America,Giant Hummingbird,Patagona gigas
South America,Violet-chested Hummingbird,Sternoclyta cyanopectus
South America,Scissor-tailed Hummingbird,Hylonympha macrocerca
South America,Long-billed Starthroat,Heliomaster longirostris
South America,Stripe-breasted Starthroat,Heliomaster squamosus
South America,Blue-tufted Starthroat,Heliomaster furcifer
South America,Amethyst Woodstar,Calliphlox amethystina
South America,Peruvian Sheartail,Thaumastura cora
South America,Short-tailed Woodstar,Myrmia micrura
South America,Purple-collared Woodstar,Myrtis fanny
South America,Oasis Hummingbird,Rhodopis vesper
South America,Chilean Woodstar,Eulidia yarrellii
South America,Slender-tailed Woodstar,Microstilbon burmeisteri
South America,White-bellied Woodstar,Chaetocercus mulsant
South America,Little Woodstar,Chaetocercus bombus
South America,Gorgeted Woodstar,Chaetocercus heliodor
South America,Santa Marta Woodstar,Chaetocercus astreans
South America,Esmeraldas Woodstar,Chaetocercus berlepschi
South America,Rufous-shafted Woodstar,Chaetocercus jourdanii
South America,Purple-throated Woodstar,Philodice mitchellii
South America,Ruby-throated Hummingbird,Archilochus colubris
South America,Blue-tailed Emerald,Chlorostilbon mellisugus
South America,Chiribiquete Emerald,Chlorostilbon olivaresi
South America,Red-billed Emerald,Chlorostilbon gibsoni
South America,Glittering-bellied Emerald,Chlorostilbon lucidus
South America,Short-tailed Emerald,Chlorostilbon poortmani
South America,Narrow-tailed Emerald,Chlorostilbon stenurus
South America,Green-tailed Emerald,Chlorostilbon alice
South America,Coppery Emerald,Chlorostilbon russatus
South America,Western Emerald,Chlorostilbon melanorhynchus
South America,Violet-headed Hummingbird,Klais guimeti
South America,Antillean Crested Hummingbird,Orthorhyncus cristatus
South America,Green-crowned Plovercrest,Stephanoxis lalandi
South America,Purple-crowned Plovercrest,Stephanoxis loddigesii
South America,Santa Marta Blossomcrown,Anthocephala floriceps
South America,Tolima Blossomcrown,Anthocephala berlepschi
South America,Gray-breasted Sabrewing,Campylopterus largipennis
South America,Outcrop Sabrewing,Campylopterus calcirupicola
South America,Diamantina Sabrewing,Campylopterus diamantinensis
South America,Rufous-breasted Sabrewing,Campylopterus hyperythrus
South America,Buff-breasted Sabrewing,Campylopterus duidae
South America,Napo Sabrewing,Campylopterus villaviscensio
South America,Lazuline Sabrewing,Campylopterus falcatus
South America,Santa Marta Sabrewing,Campylopterus phainopeplus
South America,White-tailed Sabrewing,Campylopterus ensipennis
South America,Bronze-tailed Plumeleteer,Chalybura urochrysia
South America,White-vented Plumeleteer,Chalybura buffonii
South America,Violet-capped Woodnymph,Thalurania glaucopis
South America,Long-tailed Woodnymph,Thalurania watertonii
South America,Crowned Woodnymph,Thalurania colombica
South America,Fork-tailed Woodnymph,Thalurania furcata
South America,Violet-capped Hummingbird,Goldmania violiceps
South America,Pirre Hummingbird,Goldmania bella
South America,Scaly-breasted Hummingbird,Phaeochroa cuvierii
South America,Buffy Hummingbird,Leucippus fallax
South America,Tumbes Hummingbird,Thaumasius baeri
South America,Spot-throated Hummingbird,Thaumasius taczanowskii
South America,Many-spotted Hummingbird,Taphrospilus hypostictus
South America,Swallow-tailed Hummingbird,Eupetomena macroura
South America,Sombre Hummingbird,Eupetomena cirrochloris
South America,Olive-spotted Hummingbird,Talaphorus chlorocercus
South America,Snowy-bellied Hummingbird,Saucerottia edward
South America,Steely-vented Hummingbird,Saucerottia saucerottei
South America,Indigo-capped Hummingbird,Saucerottia cyanifrons
South America,Chestnut-bellied Hummingbird,Saucerottia castaneiventris
South America,Green-bellied Hummingbird,Saucerottia viridigaster
South America,Copper-rumped Hummingbird,Saucerottia tobaci
South America,Rufous-tailed Hummingbird,Amazilia tzacatl
South America,Amazilia Hummingbird,Amazilis amazilia
South America,Andean Emerald,Uranomitra franciae
South America,Versicolored Emerald,Chrysuronia versicolor
South America,Shining-green Hummingbird,Chrysuronia goudoti
South America,Golden-tailed Sapphire,Chrysuronia oenone
South America,Sapphire-throated Hummingbird,Chrysuronia coeruleogularis
South America,Sapphire-bellied Hummingbird,Chrysuronia lilliae
South America,Humboldt's Sapphire,Chrysuronia humboldtii
South America,Blue-headed Sapphire,Chrysuronia grayi
South America,White-chested Emerald,Chrysuronia brevirostris
South America,Plain-bellied Emerald,Chrysuronia leucogaster
South America,White-throated Hummingbird,Leucochloris albicollis
South America,Glittering-throated Emerald,Chionomesa fimbriata
South America,Sapphire-spangled Emerald,Chionomesa lactea
South America,Rufous-throated Sapphire,Hylocharis sapphirina
South America,Gilded Hummingbird,Hylocharis chrysura
South America,White-bellied Hummingbird,Elliotomyia chionogaster
South America,Green-and-white Hummingbird,Elliotomyia viridicauda
South America,Purple-chested Hummingbird,Polyerata rosenbergi
South America,Blue-chested Hummingbird,Polyerata amabilis
South America,Blue-throated Goldentail,Chlorestes eliciae
South America,White-chinned Sapphire,Chlorestes cyanus
South America,Violet-bellied Hummingbird,Chlorestes julie
South America,Blue-chinned Sapphire,Chlorestes notata
South America,Hoatzin,Opisthocomus hoazin
South America,Ridgway's Rail,Rallus obsoletus
South America,Mangrove Rail,Rallus longirostris
South America,Clapper Rail,Rallus crepitans
South America,Plain-flanked Rail,Rallus wetmorei
South America,Virginia Rail,Rallus limicola
South America,Bogota Rail,Rallus semiplumbeus
South America,Austral Rail,Rallus antarcticus
South America,Corn Crake,Crex crex
South America,Ash-throated Crake,Mustelirallus albicollis
South America,Colombian Crake,Mustelirallus colombianus
South America,Paint-billed Crake,Mustelirallus erythrops
South America,Spotted Rail,Pardirallus maculatus
South America,Blackish Rail,Pardirallus nigricans
South America,Plumbeous Rail,Pardirallus sanguinolentus
South America,Uniform Crake,Amaurolimnas concolor
South America,Giant Wood-Rail,Aramides ypecaha
South America,Brown Wood-Rail,Aramides wolfi
South America,Little Wood-Rail,Aramides mangle
South America,Rufous-necked Wood-Rail,Aramides axillaris
South America,Gray-cowled Wood-Rail,Aramides cajaneus
South America,Red-winged Wood-Rail,Aramides calopterus
South America,Slaty-breasted Wood-Rail,Aramides saracura
South America,Spot-flanked Gallinule,Porphyriops melanops
South America,Sora,Porzana carolina
South America,Spotted Crake,Porzana porzana
South America,Dot-winged Crake,Porzana spiloptera
South America,Lesser Moorhen,Paragallinula angulata
South America,Common Gallinule,Gallinula galeata
South America,Red-fronted Coot,Fulica rufifrons
South America,Horned Coot,Fulica cornuta
South America,Giant Coot,Fulica gigantea
South America,Red-gartered Coot,Fulica armillata
South America,American Coot,Fulica americana
South America,Slate-colored Coot,Fulica ardesiaca
South America,White-winged Coot,Fulica leucoptera
South America,Allen's Gallinule,Porphyrio alleni
South America,Purple Gallinule,Porphyrio martinica
South America,Azure Gallinule,Porphyrio flavirostris
South America,Ocellated Crake,Micropygia schomburgkii
South America,Chestnut-headed Crake,Anurolimnas castaneiceps
South America,Russet-crowned Crake,Anurolimnas viridis
South America,Black-banded Crake,Anurolimnas fasciatus
South America,Speckled Rail,Coturnicops notatus
South America,Yellow-breasted Crake,Hapalocrex flaviventer
South America,Rusty-flanked Crake,Laterallus levraudi
South America,Rufous-sided Crake,Laterallus melanophaius
South America,White-throated Crake,Laterallus albigularis
South America,Gray-breasted Crake,Laterallus exilis
South America,Galapagos Rail,Laterallus spilonota
South America,Black Rail,Laterallus jamaicensis
South America,Red-and-white Crake,Laterallus leucopyrrhus
South America,Rufous-faced Crake,Laterallus xenopterus
South America,Sungrebe,Heliornis fulica
South America,Limpkin,Aramus guarauna
South America,Gray-winged Trumpeter,Psophia crepitans
South America,Pale-winged Trumpeter,Psophia leucoptera
South America,Dark-winged Trumpeter,Psophia viridis
South America,Snowy Sheathbill,Chionis albus
South America,Magellanic Plover,Pluvianellus socialis
South America,Double-striped Thick-knee,Burhinus bistriatus
South America,Peruvian Thick-knee,Burhinus superciliaris
South America,Black-winged Stilt,Himantopus himantopus
South America,Black-necked Stilt,Himantopus mexicanus
South America,Andean Avocet,Recurvirostra andina
South America,American Avocet,Recurvirostra americana
South America,American Oystercatcher,Haematopus palliatus
South America,Blackish Oystercatcher,Haematopus ater
South America,Magellanic Oystercatcher,Haematopus leucopodus
South America,Black-bellied Plover,Pluvialis squatarola
South America,American Golden-Plover,Pluvialis dominica
South America,Pacific Golden-Plover,Pluvialis fulva
South America,Tawny-throated Dotterel,Oreopholus ruficollis
South America,Pied Lapwing,Vanellus cayanus
South America,Southern Lapwing,Vanellus chilensis
South America,Andean Lapwing,Vanellus resplendens
South America,Lesser Sand-Plover,Charadrius mongolus
South America,Collared Plover,Charadrius collaris
South America,Puna Plover,Charadrius alticola
South America,Two-banded Plover,Charadrius falklandicus
South America,Snowy Plover,Charadrius nivosus
South America,Wilson's Plover,Charadrius wilsonia
South America,Common Ringed Plover,Charadrius hiaticula
South America,Semipalmated Plover,Charadrius semipalmatus
South America,Piping Plover,Charadrius melodus
South America,Killdeer,Charadrius vociferus
South America,Rufous-chested Dotterel,Charadrius modestus
South America,Diademed Sandpiper-Plover,Phegornis mitchellii
South America,Rufous-bellied Seedsnipe,Attagis gayi
South America,White-bellied Seedsnipe,Attagis malouinus
South America,Gray-breasted Seedsnipe,Thinocorus orbignyianus
South America,Least Seedsnipe,Thinocorus rumicivorus
South America,South American Painted-Snipe,Nycticryphes semicollaris
South America,Northern Jacana,Jacana spinosa
South America,Wattled Jacana,Jacana jacana
South America,Upland Sandpiper,Bartramia longicauda
South America,Bristle-thighed Curlew,Numenius tahitiensis
South America,Whimbrel,Numenius phaeopus
South America,Eskimo Curlew,Numenius borealis
South America,Long-billed Curlew,Numenius americanus
South America,Eurasian Curlew,Numenius arquata
South America,Bar-tailed Godwit,Limosa lapponica
South America,Black-tailed Godwit,Limosa limosa
South America,Hudsonian Godwit,Limosa haemastica
South America,Marbled Godwit,Limosa fedoa
South America,Ruddy Turnstone,Arenaria interpres
South America,Black Turnstone,Arenaria melanocephala
South America,Red Knot,Calidris canutus
South America,Surfbird,Calidris virgata
South America,Ruff,Calidris pugnax
South America,Sharp-tailed Sandpiper,Calidris acuminata
South America,Stilt Sandpiper,Calidris himantopus
South America,Curlew Sandpiper,Calidris ferruginea
South America,Red-necked Stint,Calidris ruficollis
South America,Sanderling,Calidris alba
South America,Dunlin,Calidris alpina
South America,Baird's Sandpiper,Calidris bairdii
South America,Little Stint,Calidris minuta
South America,Least Sandpiper,Calidris minutilla
South America,White-rumped Sandpiper,Calidris fuscicollis
South America,Buff-breasted Sandpiper,Calidris subruficollis
South America,Pectoral Sandpiper,Calidris melanotos
South America,Semipalmated Sandpiper,Calidris pusilla
South America,Western Sandpiper,Calidris mauri
South America,Short-billed Dowitcher,Limnodromus griseus
South America,Long-billed Dowitcher,Limnodromus scolopaceus
South America,Imperial Snipe,Gallinago imperialis
South America,Jameson's Snipe,Gallinago jamesoni
South America,Fuegian Snipe,Gallinago stricklandii
South America,Wilson's Snipe,Gallinago delicata
South America,Paraguayan Snipe,Gallinago paraguaiae
South America,Magellanic Snipe,Gallinago magellanica
South America,Puna Snipe,Gallinago andina
South America,Noble Snipe,Gallinago nobilis
South America,Giant Snipe,Gallinago undulata
South America,Terek Sandpiper,Xenus cinereus
South America,Wilson's Phalarope,Phalaropus tricolor
South America,Red-necked Phalarope,Phalaropus lobatus
South America,Red Phalarope,Phalaropus fulicarius
South America,Spotted Sandpiper,Actitis macularius
South America,Solitary Sandpiper,Tringa solitaria
South America,Wandering Tattler,Tringa incana
South America,Spotted Redshank,Tringa erythropus
South America,Greater Yellowlegs,Tringa melanoleuca
South America,Common Greenshank,Tringa nebularia
South America,Willet,Tringa semipalmata
South America,Lesser Yellowlegs,Tringa flavipes
South America,Wood Sandpiper,Tringa glareola
South America,Common Redshank,Tringa totanus
South America,Collared Pratincole,Glareola pratincola
South America,Great Skua,Stercorarius skua
South America,Chilean Skua,Stercorarius chilensis
South America,South Polar Skua,Stercorarius maccormicki
South America,Brown Skua,Stercorarius antarcticus
South America,Pomarine Jaeger,Stercorarius pomarinus
South America,Parasitic Jaeger,Stercorarius parasiticus
South America,Long-tailed Jaeger,Stercorarius longicaudus
South America,Swallow-tailed Gull,Creagrus furcatus
South America,Black-legged Kittiwake,Rissa tridactyla
South America,Sabine's Gull,Xema sabini
South America,Bonaparte's Gull,Chroicocephalus philadelphia
South America,Andean Gull,Chroicocephalus serranus
South America,Brown-hooded Gull,Chroicocephalus maculipennis
South America,Gray-hooded Gull,Chroicocephalus cirrocephalus
South America,Black-headed Gull,Chroicocephalus ridibundus
South America,Little Gull,Hydrocoloeus minutus
South America,Dolphin Gull,Leucophaeus scoresbii
South America,Gray Gull,Leucophaeus modestus
South America,Laughing Gull,Leucophaeus atricilla
South America,Franklin's Gull,Leucophaeus pipixcan
South America,Lava Gull,Leucophaeus fuliginosus
South America,Audouin's Gull,Ichthyaetus audouinii
South America,Belcher's Gull,Larus belcheri
South America,Olrog's Gull,Larus atlanticus
South America,Ring-billed Gull,Larus delawarensis
South America,California Gull,Larus californicus
South America,Herring Gull,Larus argentatus
South America,Lesser Black-backed Gull,Larus fuscus
South America,Great Black-backed Gull,Larus marinus
South America,Kelp Gull,Larus dominicanus
South America,Brown Noddy,Anous stolidus
South America,Black Noddy,Anous minutus
South America,Lesser Noddy,Anous tenuirostris
South America,Gray Noddy,Anous albivitta
South America,White Tern,Gygis alba
South America,Sooty Tern,Onychoprion fuscatus
South America,Gray-backed Tern,Onychoprion lunatus
South America,Bridled Tern,Onychoprion anaethetus
South America,Least Tern,Sternula antillarum
South America,Yellow-billed Tern,Sternula superciliaris
South America,Peruvian Tern,Sternula lorata
South America,Large-billed Tern,Phaetusa simplex
South America,Gull-billed Tern,Gelochelidon nilotica
South America,Caspian Tern,Hydroprogne caspia
South America,Inca Tern,Larosterna inca
South America,Black Tern,Chlidonias niger
South America,White-winged Tern,Chlidonias leucopterus
South America,Whiskered Tern,Chlidonias hybrida
South America,Roseate Tern,Sterna dougallii
South America,Common Tern,Sterna hirundo
South America,Arctic Tern,Sterna paradisaea
South America,South American Tern,Sterna hirundinacea
South America,Antarctic Tern,Sterna vittata
South America,Forster's Tern,Sterna forsteri
South America,Snowy-crowned Tern,Sterna trudeaui
South America,Royal Tern,Thalasseus maximus
South America,Sandwich Tern,Thalasseus sandvicensis
South America,Elegant Tern,Thalasseus elegans
South America,Black Skimmer,Rynchops niger
South America,Sunbittern,Eurypyga helias
South America,White-tailed Tropicbird,Phaethon lepturus
South America,Red-billed Tropicbird,Phaethon aethereus
South America,Red-tailed Tropicbird,Phaethon rubricauda
South America,King Penguin,Aptenodytes patagonicus
South America,Emperor Penguin,Aptenodytes forsteri
South America,Adelie Penguin,Pygoscelis adeliae
South America,Gentoo Penguin,Pygoscelis papua
South America,Chinstrap Penguin,Pygoscelis antarcticus
South America,Little Penguin,Eudyptula minor
South America,African Penguin,Spheniscus demersus
South America,Humboldt Penguin,Spheniscus humboldti
South America,Galapagos Penguin,Spheniscus mendiculus
South America,Magellanic Penguin,Spheniscus magellanicus
South America,Fiordland Penguin,Eudyptes pachyrhynchus
South America,Erect-crested Penguin,Eudyptes sclateri
South America,Macaroni Penguin,Eudyptes chrysolophus
South America,Royal Penguin,Eudyptes schlegeli
South America,Southern Rockhopper Penguin,Eudyptes chrysocome
South America,Moseley's Rockhopper Penguin,Eudyptes moseleyi
South America,Snares Penguin,Eudyptes robustus
South America,Yellow-nosed Albatross,Thalassarche chlororhynchos
South America,Gray-headed Albatross,Thalassarche chrysostoma
South America,Buller's Albatross,Thalassarche bulleri
South America,White-capped Albatross,Thalassarche cauta
South America,Salvin's Albatross,Thalassarche salvini
South America,Chatham Albatross,Thalassarche eremita
South America,Black-browed Albatross,Thalassarche melanophris
South America,Sooty Albatross,Phoebetria fusca
South America,Light-mantled Albatross,Phoebetria palpebrata
South America,Royal Albatross,Diomedea epomophora
South America,Wandering Albatross,Diomedea exulans
South America,Waved Albatross,Phoebastria irrorata
South America,Black-footed Albatross,Phoebastria nigripes
South America,Wilson's Storm-Petrel,Oceanites oceanicus
South America,Pincoya Storm-Petrel,Oceanites pincoyae
South America,Elliot's Storm-Petrel,Oceanites gracilis
South America,Gray-backed Storm-Petrel,Garrodia nereis
South America,White-faced Storm-Petrel,Pelagodroma marina
South America,White-bellied Storm-Petrel,Fregetta grallaria
South America,Black-bellied Storm-Petrel,Fregetta tropica
South America,Polynesian Storm-Petrel,Nesofregetta fuliginosa
South America,Ringed Storm-Petrel,Hydrobates hornbyi
South America,Leach's Storm-Petrel,Hydrobates leucorhous
South America,Swinhoe's Storm-Petrel,Hydrobates monorhis
South America,Ashy Storm-Petrel,Hydrobates homochroa
South America,Band-rumped Storm-Petrel,Hydrobates castro
South America,Wedge-rumped Storm-Petrel,Hydrobates tethys
South America,Black Storm-Petrel,Hydrobates melania
South America,Markham's Storm-Petrel,Hydrobates markhami
South America,Least Storm-Petrel,Hydrobates microsoma
South America,Southern Giant-Petrel,Macronectes giganteus
South America,Northern Giant-Petrel,Macronectes halli
South America,Northern Fulmar,Fulmarus glacialis
South America,Southern Fulmar,Fulmarus glacialoides
South America,Antarctic Petrel,Thalassoica antarctica
South America,Cape Petrel,Daption capense
South America,Snow Petrel,Pagodroma nivea
South America,Kerguelen Petrel,Aphrodroma brevirostris
South America,Great-winged Petrel,Pterodroma macroptera
South America,Gray-faced Petrel,Pterodroma gouldi
South America,Kermadec Petrel,Pterodroma neglecta
South America,Magenta Petrel,Pterodroma magentae
South America,Trindade Petrel,Pterodroma arminjoniana
South America,Herald Petrel,Pterodroma heraldica
South America,Murphy's Petrel,Pterodroma ultima
South America,Providence Petrel,Pterodroma solandri
South America,Henderson Petrel,Pterodroma atrata
South America,Fea's Petrel,Pterodroma feae
South America,Soft-plumaged Petrel,Pterodroma mollis
South America,White-headed Petrel,Pterodroma lessonii
South America,Mottled Petrel,Pterodroma inexpectata
South America,Black-capped Petrel,Pterodroma hasitata
South America,Juan Fernandez Petrel,Pterodroma externa
South America,Atlantic Petrel,Pterodroma incerta
South America,Galapagos Petrel,Pterodroma phaeopygia
South America,Black-winged Petrel,Pterodroma nigripennis
South America,Cook's Petrel,Pterodroma cookii
South America,Masatierra Petrel,Pterodroma defilippiana
South America,Gould's Petrel,Pterodroma leucoptera
South America,Collared Petrel,Pterodroma brevipes
South America,Stejneger's Petrel,Pterodroma longirostris
South America,Phoenix Petrel,Pterodroma alba
South America,Blue Petrel,Halobaena caerulea
South America,Fairy Prion,Pachyptila turtur
South America,Broad-billed Prion,Pachyptila vittata
South America,Salvin's Prion,Pachyptila salvini
South America,Antarctic Prion,Pachyptila desolata
South America,Slender-billed Prion,Pachyptila belcheri
South America,Bulwer's Petrel,Bulweria bulwerii
South America,Tahiti Petrel,Pseudobulweria rostrata
South America,Gray Petrel,Procellaria cinerea
South America,White-chinned Petrel,Procellaria aequinoctialis
South America,Spectacled Petrel,Procellaria conspicillata
South America,Parkinson's Petrel,Procellaria parkinsoni
South America,Westland Petrel,Procellaria westlandica
South America,Cory's Shearwater,Calonectris diomedea
South America,Cape Verde Shearwater,Calonectris edwardsii
South America,Pink-footed Shearwater,Ardenna creatopus
South America,Flesh-footed Shearwater,Ardenna carneipes
South America,Great Shearwater,Ardenna gravis
South America,Wedge-tailed Shearwater,Ardenna pacifica
South America,Buller's Shearwater,Ardenna bulleri
South America,Sooty Shearwater,Ardenna grisea
South America,Short-tailed Shearwater,Ardenna tenuirostris
South America,Christmas Shearwater,Puffinus nativitatis
South America,Galapagos Shearwater,Puffinus subalaris
South America,Manx Shearwater,Puffinus puffinus
South America,Little Shearwater,Puffinus assimilis
South America,Subantarctic Shearwater,Puffinus elegans
South America,Barolo Shearwater,Puffinus baroli
South America,Audubon's Shearwater,Puffinus lherminieri
South America,Tropical Shearwater,Puffinus bailloni
South America,Peruvian Diving-Petrel,Pelecanoides garnotii
South America,Common Diving-Petrel,Pelecanoides urinatrix
South America,South Georgia Diving-Petrel,Pelecanoides georgicus
South America,Magellanic Diving-Petrel,Pelecanoides magellani
South America,Maguari Stork,Ciconia maguari
South America,Jabiru,Jabiru mycteria
South America,Wood Stork,Mycteria americana
South America,Lesser Frigatebird,Fregata ariel
South America,Ascension Frigatebird,Fregata aquila
South America,Magnificent Frigatebird,Fregata magnificens
South America,Great Frigatebird,Fregata minor
South America,Masked Booby,Sula dactylatra
South America,Nazca Booby,Sula granti
South America,Blue-footed Booby,Sula nebouxii
South America,Peruvian Booby,Sula variegata
South America,Brown Booby,Sula leucogaster
South America,Red-footed Booby,Sula sula
South America,Northern Gannet,Morus bassanus
South America,Cape Gannet,Morus capensis
South America,Australasian Gannet,Morus serrator
South America,Anhinga,Anhinga anhinga
South America,Red-legged Cormorant,Poikilocarbo gaimardi
South America,Great Cormorant,Phalacrocorax carbo
South America,Flightless Cormorant,Nannopterum harrisi
South America,Double-crested Cormorant,Nannopterum auritum
South America,Neotropic Cormorant,Nannopterum brasilianum
South America,Magellanic Cormorant,Leucocarbo magellanicus
South America,Guanay Cormorant,Leucocarbo bougainvillii
South America,South Georgia Shag,Leucocarbo georgianus
South America,Imperial Cormorant,Leucocarbo atriceps
South America,Antarctic Shag,Leucocarbo bransfieldensis
South America,American White Pelican,Pelecanus erythrorhynchos
South America,Brown Pelican,Pelecanus occidentalis
South America,Peruvian Pelican,Pelecanus thagus
South America,Pinnated Bittern,Botaurus pinnatus
South America,Zigzag Heron,Zebrilus undulatus
South America,Least Bittern,Ixobrychus exilis
South America,Stripe-backed Bittern,Ixobrychus involucris
South America,Rufescent Tiger-Heron,Tigrisoma lineatum
South America,Fasciated Tiger-Heron,Tigrisoma fasciatum
South America,Bare-throated Tiger-Heron,Tigrisoma mexicanum
South America,Great Blue Heron,Ardea herodias
South America,Gray Heron,Ardea cinerea
South America,Cocoi Heron,Ardea cocoi
South America,Purple Heron,Ardea purpurea
South America,Great Egret,Ardea alba
South America,Little Egret,Egretta garzetta
South America,Western Reef-Heron,Egretta gularis
South America,Pacific Reef-Heron,Egretta sacra
South America,Snowy Egret,Egretta thula
South America,Little Blue Heron,Egretta caerulea
South America,Tricolored Heron,Egretta tricolor
South America,Reddish Egret,Egretta rufescens
South America,Cattle Egret,Bubulcus ibis
South America,Squacco Heron,Ardeola ralloides
South America,Green Heron,Butorides virescens
South America,Striated Heron,Butorides striata
South America,Agami Heron,Agamia agami
South America,Whistling Heron,Syrigma sibilatrix
South America,Capped Heron,Pilherodius pileatus
South America,Black-crowned Night-Heron,Nycticorax nycticorax
South America,Yellow-crowned Night-Heron,Nyctanassa violacea
South America,Boat-billed Heron,Cochlearius cochlearius
South America,White Ibis,Eudocimus albus
South America,Scarlet Ibis,Eudocimus ruber
South America,Glossy Ibis,Plegadis falcinellus
South America,White-faced Ibis,Plegadis chihi
South America,Puna Ibis,Plegadis ridgwayi
South America,Sharp-tailed Ibis,Cercibis oxycerca
South America,Green Ibis,Mesembrinibis cayennensis
South America,Bare-faced Ibis,Phimosus infuscatus
South America,Plumbeous Ibis,Theristicus caerulescens
South America,Buff-necked Ibis,Theristicus caudatus
South America,Black-faced Ibis,Theristicus melanopis
South America,Andean Ibis,Theristicus branickii
South America,Eurasian Spoonbill,Platalea leucorodia
South America,Roseate Spoonbill,Platalea ajaja
South America,Andean Condor,Vultur gryphus
South America,King Vulture,Sarcoramphus papa
South America,Black Vulture,Coragyps atratus
South America,Turkey Vulture,Cathartes aura
South America,Lesser Yellow-headed Vulture,Cathartes burrovianus
South America,Greater Yellow-headed Vulture,Cathartes melambrotus
South America,Osprey,Pandion haliaetus
South America,Pearl Kite,Gampsonyx swainsonii
South America,White-tailed Kite,Elanus leucurus
South America,Hook-billed Kite,Chondrohierax uncinatus
South America,Gray-headed Kite,Leptodon cayanensis
South America,White-collared Kite,Leptodon forbesi
South America,Swallow-tailed Kite,Elanoides forficatus
South America,Crested Eagle,Morphnus guianensis
South America,Harpy Eagle,Harpia harpyja
South America,Black Hawk-Eagle,Spizaetus tyrannus
South America,Ornate Hawk-Eagle,Spizaetus ornatus
South America,Black-and-white Hawk-Eagle,Spizaetus melanoleucus
South America,Black-and-chestnut Eagle,Spizaetus isidori
South America,Black-collared Hawk,Busarellus nigricollis
South America,Snail Kite,Rostrhamus sociabilis
South America,Slender-billed Kite,Helicolestes hamatus
South America,Double-toothed Kite,Harpagus bidentatus
South America,Rufous-thighed Kite,Harpagus diodon
South America,Mississippi Kite,Ictinia mississippiensis
South America,Plumbeous Kite,Ictinia plumbea
South America,Long-winged Harrier,Circus buffoni
South America,Cinereous Harrier,Circus cinereus
South America,Northern Harrier,Circus hudsonius
South America,Gray-bellied Hawk,Accipiter poliogaster
South America,Tiny Hawk,Accipiter superciliosus
South America,Semicollared Hawk,Accipiter collaris
South America,Sharp-shinned Hawk,Accipiter striatus
South America,Cooper's Hawk,Accipiter cooperii
South America,Bicolored Hawk,Accipiter bicolor
South America,Black Kite,Milvus migrans
South America,Crane Hawk,Geranospiza caerulescens
South America,Plumbeous Hawk,Cryptoleucopteryx plumbea
South America,Slate-colored Hawk,Buteogallus schistaceus
South America,Common Black Hawk,Buteogallus anthracinus
South America,Rufous Crab Hawk,Buteogallus aequinoctialis
South America,Savanna Hawk,Buteogallus meridionalis
South America,White-necked Hawk,Buteogallus lacernulatus
